Region/Country/Area Code,Region/Country/Area,Year,Series,Value
1,"Total, all countries or areas",2005,Land area (thousand hectares),"13,010,620"
1,"Total, all countries or areas",2005,Arable land (thousand hectares),"1,365,738"
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),"145,681"
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),"4,132,183"
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.5
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.8
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),35.35
1,"Total, all countries or areas",2010,Land area (thousand hectares),"13,008,536"
1,"Total, all countries or areas",2010,Arable land (thousand hectares),"1,361,130"
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),"158,427"
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),"4,106,317"
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.5
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2
1,"Total, all countries or areas",2010,Forest cover (% of total land area),31.6
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.04
1,"Total, all countries or areas",2018,Land area (thousand hectares),"13,028,122"
1,"Total, all countries or areas",2018,Arable land (thousand hectares),"1,394,979"
1,"Total, all countries or areas",2018,Permanent crops (thousand hectares),"169,942"
1,"Total, all countries or areas",2018,Forest cover (thousand hectares),"4,068,923"
1,"Total, all countries or areas",2018,Arable land (% of total land area),10.7
1,"Total, all countries or areas",2018,Permanent crops (% of total land area),1.3
1,"Total, all countries or areas",2018,Forest cover (% of total land area),31.2
1,"Total, all countries or areas",2018,Important sites for terrestrial biodiversity protected (% of total sites protected),43.06
1,"Total, all countries or areas",2020,Important sites for terrestrial biodiversity protected (% of total sites protected),43.17
2,Africa,2005,Land area (thousand hectares),"2,977,754"
2,Africa,2005,Arable land (thousand hectares),"215,651"
2,Africa,2005,Permanent crops (thousand hectares),"30,854"
2,Africa,2005,Forest cover (thousand hectares),"693,032"
2,Africa,2005,Arable land (% of total land area),7.2
2,Africa,2005,Permanent crops (% of total land area),1
2,Africa,2005,Forest cover (% of total land area),23.3
2,Africa,2010,Land area (thousand hectares),"2,977,819"
2,Africa,2010,Arable land (thousand hectares),"225,759"
2,Africa,2010,Permanent crops (thousand hectares),"33,511"
